Year,Total,Budget,Gross,Best
,,,,
,,,,
,,,,
2029,2,,,
2028,1,,,
2027,2,,,
2026,1,,,
2025,1,,,
2024,14,,,
2023,48,,,
2022,137,101250000,22, Munch: Love Phantoms and Lady-Vampires
2021,"2,735",59026763,12505819141," Ni Hao, Li Huan Ying"
2020,"3,378",41581029,8682801293, Kimetsu no Yaiba: Mugen Ressha-Hen
2019,"4,017",47697380,38789064798, Avengers: Endgame
2018,"3,949",39909468,38291473922, Avengers: Infinity War
2017,"3,704",44874800,37935581314, Star Wars Ep. VIII: The Last Jedi
2016,"3,530",37817389,37080439110, Captain America: Civil War
2015,"3,013",26339718,36098749722, Star Wars Ep. VII: The Force Awakens
2014,"1,536",30816348,29957430636, Transformers: Age of Extinction
2013,"1,427",37140852,29833835169, Frozen
2012,"1,499",33094858,31712197160, The Avengers
2011,"1,299",35115816,27423015109, Harry Potter and the Deathly Hallows: Part II
2010,"1,248",33369984,25314328935, Toy Story 3
2009,"1,216",34734498,25906143171, Avatar
2008,"1,122",31389914,24280131562, The Dark Knight
2007,"1,037",32714960,23264769516, Pirates of the Caribbean: At World’s End
2006,844,29027573,20144775957, Pirates of the Caribbean: Dead Man’s Chest
2005,640,33585720,18340519561, Harry Potter and the Goblet of Fire
2004,641,35373311,19065204899, Shrek 2
2003,598,31983734,17830099958, The Lord of the Rings: The Return of the King
2002,505,30922913,16798027062, The Lord of the Rings: The Two Towers
2001,493,32361374,15482286241, Harry Potter and the Sorcerer’s Stone
2000,543,31167926,13323140838, Mission: Impossible 2
1999,484,30304559,13582767202, Star Wars Ep. I: The Phantom Menace
1998,417,30057948,11632842195, Armageddon
1997,368,40319291,12759143697, Titanic
1996,334,31513082,10128261927, Independence Day
1995,310,34665132,9874781889, Die Hard: With a Vengeance
1994,257,29368895,8838948106, The Lion King
1993,236,20915519,7924264947, Jurassic Park
1992,229,25363889,6950572325, Aladdin
1991,246,21183122,6186730196, Terminator 2: Judgment Day
1990,246,27194333,6642397083, Ghost
1989,242,18651176,5839842744, Indiana Jones and the Last Crusade
1988,253,15181818,4758747218, Rain Man
1987,267,14015714,4096291596, Fatal Attraction
1986,261,14436486,3595034791, Top Gun
1985,232,13093333,3754732761, Back to the Future
1984,224,15742857,3864251887, Indiana Jones and the Temple of Doom
1983,211,13091615,3160654691, Star Wars Ep. VI: Return of the Jedi
1982,184,12430000,3479526840, E.T. the Extra-Terrestrial
1981,186,12509677,2882719829, Raiders of the Lost Ark
1980,171,13178200,2784330358, Star Wars Ep. V: The Empire Strikes Back
1979,149,13408947,2513571110, Moonraker
1978,108,13178846,2240966336, Grease
1977,97,10512500,2685539597, Star Wars Ep. IV: A New Hope
1976,97,5283333,1168021490, Rocky
1975,105,4662500,1282427285, Jaws
1974,107,5341538,1226675750, Towering Inferno
1973,95,5101435,1303877406, The Exorcist
1972,90,2426500,832420278, The Godfather
1971,101,3705556,642592893, Diamonds Are Forever
1970,124,9751304,746518661, Love Story
1969,91,8945455,663959439, Butch Cassidy and the Sundance Kid
1968,86,4735111,635625602, 2001: A Space Odyssey
1967,82,3833333,930938603, The Jungle Book
1966,81,4796300,423425726, The Bible
1965,74,8300000,820183541, The Sound of Music
1964,66,6185000,554900179, Goldfinger
1963,67,9948250,507525405, Cleopatra
1962,73,6970000,296025417, Lawrence of Arabia
1961,60,3580000,464151482, 101 Dalmatians
1960,65,6800000,251417350, Spartacus
1959,50,6595962,268310784, Ben-Hur
1958,47,3000000,142836048, South Pacific
1957,58,2780000,138274911, The Bridge on the River Kwai
1956,61,4274000,273417976, The Ten Commandments
1955,55,1388500,198393036, Lady and the Tramp
1954,62,3636667,235436647, White Christmas
1953,51,2128000,232993365, Peter Pan
1952,38,2423333,80267973, The Greatest Show on Earth
1951,46,2958333,112685600, Quo Vadis?
1950,43,3334393,320384823, Cinderella
1949,45,1300000,83083694, Samson and Delilah
1948,51,3350000,68143294, The Snake Pit
1947,48,2000000,133770556, Miracle on 34th Street
1946,44,3242200,243959820, Song of the South
1945,39,1636667,126719955, The Bells of St. Mary's
1944,27,3780500,38231885, Going My Way
1943,29,1833000,76375215, This is the Army
1942,32,496000,322116344, Bambi
1941,36,1250000,35009826, Sergeant York
1940,39,1696449,189728290, Pinocchio
1939,39,2725667,437117543, Gone with the Wind
1938,26,1822000,13945659, You Can't Take It With You
1937,32,1488000,197242444, Snow White and the Seven Dwarfs
1936,32,1333333,16622397, How to Become a Detective
1935,28,609000,3202000, Top Hat
1934,26,325000,3625176, It Happened One Night
1933,27,437000,14482912, King Kong
1932,26,,8973, The Old Dark House
1931,22,,16995336, Frankenstein
1930,18,,11118204, Tom Sawyer
1929,27,,7087611, The Broadway Melody
1928,14,,11231580, The Singing Fool
1927,13,,4229216, The Jazz Singer
1926,8,,3002993, Aloma of the South Seas
1925,15,,31058600, The Big Parade
1924,6,,18835, Der müde Tod
1923,5,,3800000, The Covered Wagon
1922,4,,,
1921,5,,11837417, The Four Horsemen of the Apocalypse
1920,5,,3000000, Over the Hill to the Poorhouse
1919,2,,,
1918,3,,9685, Godovshchina revolyutsii
1916,6,,8262102," 20,000 Leagues Under the Sea"
1915,3,,11000000, The Birth of a Nation
1902,1,,45353, Le Voyage dans la Lune
1899,4,,14172639, Thief of Hearts